"","tmax","metodo","rep","GAP","time"
"90","200","p","30","0.18102430913974","0.119403123855591"
"91","400","p","1","0.184073043004262","0.0980019569396973"
"92","400","p","2","0.196527283940668","0.100203990936279"
"93","400","p","3","0.186839896459569","0.103401899337769"
"94","400","p","4","0.169254042167727","0.0994019508361816"
"95","400","p","5","0.131431364481961","0.102001905441284"
"96","400","p","6","0.157268044068471","0.0914018154144287"
"97","400","p","7","0.183643888589062","0.103402137756348"
"98","400","p","8","0.128265048670923","0.0990009307861328"
"99","400","p","9","0.12697016899608","0.10180401802063"
"100","400","p","10","0.150075113093182","0.114200115203857"
"101","400","p","11","0.179712561174983","0.102001905441284"
"102","400","p","12","0.177016324854835","0.105401992797852"
"103","400","p","13","0.178874879066689","0.112803936004639"
"104","400","p","14","0.169843839543378","0.0928030014038086"
"105","400","p","15","0.175128702230128","0.113403081893921"
"106","400","p","16","0.174321377520214","0.0858020782470703"
"107","400","p","17","0.153468861239273","0.0978028774261475"
"108","400","p","18","0.173110375533376","0.0980021953582764"
"109","400","p","19","0.149992434716092","0.0978028774261475"
"110","400","p","20","0.144017770691208","0.10260009765625"
"111","400","p","21","0.17436978555076","0.103002071380615"
"112","400","p","22","0.157091687237582","0.102002143859863"
"113","400","p","23","0.133859788058199","0.0996038913726807"
"114","400","p","24","0.121724460359038","0.0982029438018799"
"115","400","p","25","0.155710909681685","0.111201047897339"
"116","400","p","26","0.195259422950272","0.135607004165649"
"117","400","p","27","0.161089082911869","0.112006187438965"
"118","400","p","28","0.1553723490549","0.112007141113281"
"119","400","p","29","0.179627389193844","0.111006021499634"
"120","400","p","30","0.17231746464046","0.0966050624847412"
"121","800","p","1","0.178310652799982","0.109605073928833"
"122","800","p","2","0.156764460216642","0.103005886077881"
"123","800","p","3","0.161818893698866","0.106005907058716"
"124","800","p","4","0.154437076551317","0.111402988433838"
"125","800","p","5","0.117650100675385","0.123606204986572"
"126","800","p","6","0.173006177175469","0.11100697517395"
"127","800","p","7","0.182992895832209","0.109005928039551"
"128","800","p","8","0.147120045355972","0.113007068634033"
"129","800","p","9","0.101549425259182","0.146008014678955"
"130","800","p","10","0.168254101399265","0.123006820678711"
"131","800","p","11","0.202490423573302","0.124006986618042"
"132","800","p","12","0.118068473241379","0.102005958557129"
"133","800","p","13","0.159133858402095","0.129007816314697"
"134","800","p","14","0.143908626338621","0.104006052017212"
"135","800","p","15","0.16534295136247","0.114006042480469"
"136","800","p","16","0.165040906682669","0.106007099151611"
"137","800","p","17","0.15944261201672","0.110006093978882"
"138","800","p","18","0.162918200299814","0.110006093978882"
"139","800","p","19","0.185865763924959","0.107006072998047"
"140","800","p","20","0.156078949375273","0.107007026672363"
"141","800","p","21","0.188757102301983","0.136006832122803"
"142","800","p","22","0.180010042101185","0.104004859924316"
"143","800","p","23","0.182963462836149","0.125006914138794"
"144","800","p","24","0.171019102818165","0.104006052017212"
"145","800","p","25","0.141273076736753","0.103005886077881"
"146","800","p","26","0.180865111063975","0.108006000518799"
"147","800","p","27","0.135177076473989","0.112005949020386"
"148","800","p","28","0.163503051206864","0.107007026672363"
"149","800","p","29","0.138689819309141","0.110005855560303"
"150","800","p","30","0.148736786316956","0.108006000518799"
"151","1600","p","1","0.143926033693291","0.105005979537964"
"152","1600","p","2","0.165481435912206","0.112007141113281"
"153","1600","p","3","0.150717188937026","0.116006135940552"
"154","1600","p","4","0.223696425763013","0.114006996154785"
"155","1600","p","5","0.199213395552684","0.128007173538208"
"156","1600","p","6","0.15811322732171","0.127007961273193"
"157","1600","p","7","0.164573528387497","0.12900710105896"
"158","1600","p","8","0.17898649113093","0.12300705909729"
"159","1600","p","9","0.17708255118444","0.119007110595703"
"160","1600","p","10","0.144721936219302","0.120007038116455"
"161","1600","p","11","0.173508459200122","0.121007204055786"
"162","1600","p","12","0.160119157444799","0.124006986618042"
"163","1600","p","13","0.161851116181581","0.12500786781311"
"164","1600","p","14","0.145381317855568","0.116006135940552"
"165","1600","p","15","0.148290516504387","0.115007162094116"
"166","1600","p","16","0.140538501856184","0.111006021499634"
"167","1600","p","17","0.1405533005515","0.106005907058716"
"168","1600","p","18","0.185003113107649","0.103005886077881"
"169","1600","p","19","0.172911219368931","0.104006052017212"
"170","1600","p","20","0.144201594822199","0.110006093978882"
"171","1600","p","21","0.17894682644652","0.113006114959717"
"172","1600","p","22","0.165516727749867","0.114006996154785"
"173","1600","p","23","0.15505265798372","0.102006196975708"
"174","1600","p","24","0.16167158518263","0.11700701713562"
"175","1600","p","25","0.163526684584552","0.119007110595703"
"176","1600","p","26","0.15129669178035","0.103004932403564"
"177","1600","p","27","0.124199728181623","0.117006063461304"
"178","1600","p","28","0.149716288681893","0.0990059375762939"
"179","1600","p","29","0.171049778161399","0.102005958557129"
"180","1600","p","30","0.147473267669119","0.101006031036377"
