"","n","k","Largos","distri"
"157",40,12,99,1
"158",40,12,15,1
"159",40,12,18,1
"160",40,12,11,1
"161",40,12,13,1
"162",40,12,19,1
"163",40,12,12,1
"164",40,12,13,1
"165",40,12,14,1
"166",40,12,12,1
"167",40,12,35,1
"168",40,12,15,1
"169",40,12,21,1
"170",40,12,41,1
"171",40,12,9,1
"172",40,12,6,1
"173",40,12,26,1
"174",40,12,20,1
"175",40,12,12,1
"176",40,12,15,1
"177",40,12,9,1
"178",40,12,9,1
"179",40,12,135,1
"180",40,12,31,1
"181",40,12,11,1
"182",40,12,33,1
"183",40,12,12,1
"184",40,12,107,1
"185",40,12,11,1
"186",40,12,6,1
"187",40,12,14,1
"188",40,12,7,1
"189",40,12,9,1
"190",40,12,3,1
"191",40,12,16,1
"192",40,12,14,1
"193",40,12,46,1
"194",40,12,6,1
"195",40,12,20,1
"196",40,12,13,1
"197",40,12,24,1
"198",40,12,23,1
"199",40,12,24,1
"200",40,12,12,1
"201",50,12,19,1
"202",50,12,8,1
"203",50,12,16,1
"204",50,12,7,1
"205",50,12,6,1
"206",50,12,11,1
"207",50,12,16,1
"208",50,12,7,1
"209",50,12,28,1
"210",50,12,51,1
"211",50,12,18,1
"212",50,12,8,1
"213",50,12,19,1
"214",50,12,13,1
"215",50,12,6,1
"216",50,12,84,1
"217",50,12,17,1
"218",50,12,16,1
"219",50,12,14,1
"220",50,12,14,1
"221",50,12,11,1
"222",50,12,45,1
"223",50,12,13,1
"224",50,12,6,1
"225",50,12,13,1
"226",50,12,11,1
"227",50,12,37,1
"228",50,12,6,1
"229",50,12,9,1
"230",50,12,7,1
"231",50,12,20,1
"232",50,12,7,1
"233",50,12,21,1
"234",50,12,19,1
"235",50,12,6,1
"236",50,12,21,1
"237",50,12,13,1
"238",50,12,10,1
"239",50,12,8,1
"240",50,12,12,1
"241",50,12,12,1
"242",50,12,67,1
"243",50,12,12,1
"244",50,12,20,1
"245",50,12,6,1
"246",50,12,7,1
"247",50,12,20,1
"248",50,12,20,1
"249",50,12,24,1
"250",50,12,15,1
"251",50,12,3,1
"252",50,12,15,1
"253",50,12,30,1
"254",50,12,14,1
"255",50,12,61,1
"256",50,12,6,1
"257",50,12,10,1
"258",50,12,16,1
"259",50,12,4,1
"260",50,12,16,1
"261",50,12,12,1
"262",50,12,16,1
"263",50,12,37,1
"264",50,12,5,1
"265",50,12,16,1
"266",50,12,25,1
"267",50,12,8,1
"268",50,12,12,1
"269",50,12,7,1
"270",50,12,2,1
"271",50,12,13,1
"272",50,12,4,1
"273",50,12,19,1
"274",50,12,34,1
"275",50,12,17,1
"276",50,12,12,1
"277",50,12,5,1
"278",50,12,27,1
"279",50,12,25,1
"280",50,12,6,1
"281",50,12,24,1
"282",50,12,33,1
"283",50,12,20,1
"284",50,12,23,1
"285",50,12,10,1
"286",50,12,9,1
"287",50,12,40,1
"288",50,12,25,1
"289",50,12,25,1
"290",50,12,11,1
"291",50,12,9,1
"292",50,12,29,1
"293",50,12,20,1
"294",50,12,17,1
"295",50,12,35,1
"296",50,12,13,1
"297",50,12,4,1
"298",50,12,12,1
"299",50,12,66,1
"300",50,12,8,1
"301",50,12,22,1
"302",50,12,21,1
"303",50,12,5,1
"304",50,12,19,1
"305",50,12,46,1
"306",50,12,21,1
"307",50,12,13,1
"308",50,12,10,1
"309",50,12,17,1
"310",50,12,35,1
"311",50,12,8,1
"312",50,12,37,1
"313",50,12,9,1
"314",50,12,18,1
"315",50,12,13,1
"316",50,12,9,1
"317",50,12,3,1
"318",50,12,29,1
"319",50,12,21,1
"320",50,12,6,1
"321",50,12,10,1
"322",50,12,12,1
"323",50,12,166,1
"324",50,12,28,1
"325",50,12,20,1
"326",50,12,8,1
"327",50,12,8,1
"328",50,12,16,1
"329",50,12,14,1
"330",50,12,26,1
"331",50,12,79,1
"332",50,12,26,1
"333",50,12,5,1
"334",50,12,6,1
"335",50,12,4,1
"336",50,12,18,1
"337",50,12,42,1
"338",50,12,7,1
"339",50,12,36,1
"340",50,12,17,1
"341",50,12,9,1
"342",50,12,13,1
"343",50,12,16,1
"344",50,12,18,1
"345",50,12,23,1
"346",50,12,11,1
"347",50,12,14,1
"348",50,12,4,1
"349",50,12,16,1
"350",50,12,27,1
"351",50,12,10,1
"352",50,12,11,1
"353",50,12,16,1
"354",50,12,9,1
"355",50,12,9,1
"356",50,12,18,1
"357",50,12,13,1
"358",50,12,6,1
"359",50,12,5,1
"360",50,12,21,1
"361",50,12,20,1
"362",50,12,23,1
"363",50,12,9,1
"364",50,12,7,1
"365",50,12,15,1
"366",50,12,11,1
"367",50,12,17,1
"368",50,12,12,1
"369",50,12,25,1
"370",50,12,9,1
"371",50,12,33,1
"372",50,12,47,1
"373",50,12,11,1
"374",50,12,3,1
"375",50,12,6,1
"376",50,12,12,1
"377",50,12,17,1
"378",50,12,21,1
"379",50,12,6,1
"380",50,12,19,1
"381",50,12,14,1
"382",50,12,23,1
"383",50,12,9,1
"384",50,12,19,1
"385",50,12,38,1
"386",50,12,19,1
"387",50,12,10,1
"388",50,12,13,1
"389",50,12,5,1
"390",50,12,9,1
"391",50,12,3,1
"392",50,12,5,1
"393",50,12,17,1
"394",50,12,17,1
"395",50,12,6,1
"396",50,12,8,1
"397",50,12,15,1
"398",50,12,23,1
"399",50,12,9,1
"400",50,12,47,1
"401",60,12,6,1
"402",60,12,17,1
"403",60,12,2,1
"404",60,12,19,1
"405",60,12,7,1
"406",60,12,108,1
"407",60,12,16,1
"408",60,12,4,1
"409",60,12,18,1
"410",60,12,4,1
"411",60,12,9,1
"412",60,12,16,1
"413",60,12,66,1
"414",60,12,4,1
"415",60,12,10,1
"416",60,12,6,1
"417",60,12,7,1
"418",60,12,6,1
"419",60,12,17,1
"420",60,12,91,1
"421",60,12,8,1
"422",60,12,14,1
"423",60,12,45,1
"424",60,12,2,1
"425",60,12,11,1
"426",60,12,25,1
"427",60,12,12,1
"428",60,12,11,1
"429",60,12,11,1
"430",60,12,14,1
"431",60,12,24,1
"432",60,12,4,1
"433",60,12,13,1
"434",60,12,8,1
"435",60,12,4,1
"436",60,12,19,1
"437",60,12,10,1
"438",60,12,11,1
"439",60,12,15,1
"440",60,12,20,1
"441",60,12,4,1
"442",60,12,15,1
"443",60,12,15,1
"444",60,12,18,1
"445",60,12,27,1
"446",60,12,6,1
"447",60,12,30,1
"448",60,12,7,1
"449",60,12,60,1
"450",60,12,15,1
"451",60,12,5,1
"452",60,12,69,1
"453",60,12,14,1
"454",60,12,8,1
"455",60,12,17,1
"456",60,12,19,1
"457",60,12,11,1
"458",60,12,7,1
"459",60,12,5,1
"460",60,12,35,1
"461",60,12,6,1
"462",60,12,24,1
"463",60,12,7,1
"464",60,12,18,1
"465",60,12,20,1
"466",60,12,5,1
"467",60,12,20,1
"468",60,12,7,1
"469",60,12,15,1
"470",60,12,71,1
"471",60,12,17,1
"472",60,12,3,1
"473",60,12,5,1
"474",60,12,20,1
"475",60,12,24,1
"476",60,12,30,1
"477",60,12,30,1
"478",60,12,6,1
"479",60,12,24,1
"480",60,12,13,1
"481",60,12,13,1
"482",60,12,13,1
"483",60,12,48,1
"484",60,12,18,1
"485",60,12,11,1
"486",60,12,14,1
"487",60,12,16,1
"488",60,12,7,1
"489",60,12,39,1
"490",60,12,18,1
"491",60,12,13,1
"492",60,12,20,1
"493",60,12,7,1
"494",60,12,21,1
"495",60,12,6,1
"496",60,12,32,1
"497",60,12,3,1
"498",60,12,27,1
"499",60,12,27,1
"500",60,12,26,1
"501",60,12,5,1
"502",60,12,15,1
"503",60,12,30,1
"504",60,12,6,1
"505",60,12,13,1
"506",60,12,25,1
"507",60,12,18,1
"508",60,12,10,1
"509",60,12,34,1
"510",60,12,5,1
"511",60,12,13,1
"512",60,12,66,1
"513",60,12,17,1
"514",60,12,11,1
"515",60,12,3,1
"516",60,12,18,1
"517",60,12,10,1
"518",60,12,12,1
"519",60,12,10,1
"520",60,12,16,1
"521",60,12,12,1
"522",60,12,15,1
"523",60,12,16,1
"524",60,12,16,1
"525",60,12,12,1
"526",60,12,9,1
"527",60,12,12,1
"528",60,12,22,1
"529",60,12,19,1
"530",60,12,11,1
"531",60,12,20,1
"532",60,12,21,1
"533",60,12,16,1
"534",60,12,11,1
"535",60,12,11,1
"536",60,12,12,1
"537",60,12,13,1
"538",60,12,20,1
"539",60,12,10,1
"540",60,12,28,1
"541",60,12,18,1
"542",60,12,7,1
"543",60,12,4,1
"544",60,12,9,1
"545",60,12,42,1
"546",60,12,17,1
"547",60,12,20,1
"548",60,12,9,1
"549",60,12,11,1
"550",60,12,6,1
"551",60,12,36,1
"552",60,12,10,1
"553",60,12,7,1
"554",60,12,81,1
"555",60,12,9,1
"556",60,12,13,1
"557",60,12,21,1
"558",60,12,40,1
"559",60,12,14,1
"560",60,12,33,1
"561",60,12,25,1
"562",60,12,19,1
"563",60,12,24,1
"564",60,12,9,1
"565",60,12,12,1
"566",60,12,22,1
"567",60,12,16,1
"568",60,12,15,1
"569",60,12,12,1
"570",60,12,24,1
"571",60,12,17,1
"572",60,12,18,1
"573",60,12,3,1
"574",60,12,39,1
"575",60,12,20,1
"576",60,12,16,1
"577",60,12,18,1
"578",60,12,52,1
"579",60,12,44,1
"580",60,12,20,1
"581",60,12,15,1
"582",60,12,22,1
"583",60,12,36,1
"584",60,12,7,1
"585",60,12,12,1
"586",60,12,38,1
"587",60,12,11,1
"588",60,12,19,1
"589",60,12,14,1
"590",60,12,54,1
"591",60,12,6,1
"592",60,12,10,1
"593",60,12,7,1
"594",60,12,14,1
"595",60,12,17,1
"596",60,12,21,1
"597",60,12,31,1
"598",60,12,11,1
"599",60,12,3,1
"600",60,12,12,1
"601",70,12,8,1
"602",70,12,34,1
"603",70,12,8,1
"604",70,12,7,1
"605",70,12,8,1
"606",70,12,2,1
"607",70,12,9,1
"608",70,12,14,1
"609",70,12,4,1
"610",70,12,13,1
"611",70,12,13,1
"612",70,12,17,1
"613",70,12,15,1
"614",70,12,8,1
"615",70,12,10,1
"616",70,12,17,1
"617",70,12,11,1
"618",70,12,25,1
"619",70,12,6,1
"620",70,12,16,1
"621",70,12,13,1
"622",70,12,26,1
"623",70,12,2,1
"624",70,12,6,1
"625",70,12,14,1
"626",70,12,20,1
"627",70,12,14,1
"628",70,12,7,1
"629",70,12,14,1
"630",70,12,16,1
"631",70,12,11,1
"632",70,12,13,1
"633",70,12,15,1
"634",70,12,14,1
"635",70,12,5,1
"636",70,12,17,1
"637",70,12,12,1
"638",70,12,17,1
"639",70,12,7,1
"640",70,12,16,1
"641",70,12,11,1
"642",70,12,18,1
"643",70,12,8,1
"644",70,12,9,1
"645",70,12,10,1
"646",70,12,11,1
"647",70,12,6,1
"648",70,12,31,1
"649",70,12,8,1
"650",70,12,7,1
"651",70,12,6,1
"652",70,12,56,1
"653",70,12,6,1
"654",70,12,31,1
"655",70,12,18,1
"656",70,12,2,1
"657",70,12,11,1
"658",70,12,28,1
"659",70,12,20,1
"660",70,12,27,1
"661",70,12,15,1
"662",70,12,7,1
"663",70,12,13,1
"664",70,12,28,1
"665",70,12,3,1
"666",70,12,13,1
"667",70,12,22,1
"668",70,12,16,1
"669",70,12,20,1
"670",70,12,6,1
"671",70,12,10,1
"672",70,12,19,1
"673",70,12,9,1
"674",70,12,14,1
"675",70,12,6,1
"676",70,12,17,1
"677",70,12,6,1
"678",70,12,9,1
"679",70,12,14,1
"680",70,12,15,1
"681",70,12,5,1
"682",70,12,7,1
"683",70,12,4,1
"684",70,12,5,1
"685",70,12,30,1
"686",70,12,24,1
"687",70,12,12,1
"688",70,12,7,1
"689",70,12,23,1
"690",70,12,26,1
"691",70,12,7,1
"692",70,12,20,1
"693",70,12,34,1
"694",70,12,35,1
"695",70,12,37,1
"696",70,12,22,1
"697",70,12,9,1
"698",70,12,12,1
"699",70,12,12,1
"700",70,12,8,1
"701",70,12,19,1
"702",70,12,14,1
"703",70,12,12,1
"704",70,12,7,1
"705",70,12,6,1
"706",70,12,5,1
"707",70,12,6,1
"708",70,12,16,1
"709",70,12,13,1
"710",70,12,7,1
"711",70,12,25,1
"712",70,12,14,1
"713",70,12,35,1
"714",70,12,21,1
"715",70,12,12,1
"716",70,12,8,1
"717",70,12,33,1
"718",70,12,23,1
"719",70,12,15,1
"720",70,12,8,1
"721",70,12,12,1
"722",70,12,12,1
"723",70,12,20,1
"724",70,12,12,1
"725",70,12,34,1
"726",70,12,24,1
"727",70,12,58,1
"728",70,12,18,1
"729",70,12,7,1
"730",70,12,3,1
"731",70,12,8,1
"732",70,12,7,1
"733",70,12,37,1
"734",70,12,16,1
"735",70,12,32,1
"736",70,12,3,1
"737",70,12,7,1
"738",70,12,7,1
"739",70,12,16,1
"740",70,12,3,1
"741",70,12,20,1
"742",70,12,6,1
"743",70,12,40,1
"744",70,12,8,1
"745",70,12,11,1
"746",70,12,12,1
"747",70,12,16,1
"748",70,12,2,1
"749",70,12,32,1
"750",70,12,18,1
"751",70,12,12,1
"752",70,12,9,1
"753",70,12,22,1
"754",70,12,17,1
"755",70,12,2,1
"756",70,12,10,1
"757",70,12,7,1
"758",70,12,13,1
"759",70,12,10,1
"760",70,12,16,1
"761",70,12,20,1
"762",70,12,9,1
"763",70,12,16,1
"764",70,12,14,1
"765",70,12,6,1
"766",70,12,29,1
"767",70,12,33,1
"768",70,12,4,1
"769",70,12,8,1
"770",70,12,17,1
"771",70,12,18,1
"772",70,12,7,1
"773",70,12,10,1
"774",70,12,4,1
"775",70,12,12,1
"776",70,12,17,1
"777",70,12,13,1
"778",70,12,31,1
"779",70,12,3,1
"780",70,12,10,1
"781",70,12,48,1
"782",70,12,25,1
"783",70,12,11,1
"784",70,12,21,1
"785",70,12,31,1
"786",70,12,17,1
"787",70,12,11,1
"788",70,12,15,1
"789",70,12,7,1
"790",70,12,22,1
"791",70,12,6,1
"792",70,12,39,1
"793",70,12,26,1
"794",70,12,19,1
"795",70,12,22,1
"796",70,12,6,1
"797",70,12,5,1
"798",70,12,11,1
"799",70,12,29,1
"800",70,12,11,1
"801",80,12,11,1
"802",80,12,15,1
"803",80,12,14,1
"804",80,12,4,1
"805",80,12,15,1
"806",80,12,12,1
"807",80,12,56,1
"808",80,12,6,1
"809",80,12,43,1
"810",80,12,5,1
"811",80,12,5,1
"812",80,12,20,1
"813",80,12,11,1
"814",80,12,8,1
"815",80,12,39,1
"816",80,12,34,1
"817",80,12,5,1
"818",80,12,5,1
"819",80,12,14,1
"820",80,12,14,1
"821",80,12,4,1
"822",80,12,56,1
"823",80,12,4,1
"824",80,12,45,1
"825",80,12,17,1
"826",80,12,13,1
"827",80,12,8,1
"828",80,12,36,1
"829",80,12,15,1
"830",80,12,22,1
"831",80,12,17,1
"832",80,12,5,1
"833",80,12,13,1
"834",80,12,10,1
"835",80,12,15,1
"836",80,12,20,1
"837",80,12,8,1
"838",80,12,5,1
"839",80,12,4,1
"840",80,12,18,1
"841",80,12,6,1
"842",80,12,11,1
"843",80,12,11,1
"844",80,12,12,1
"845",80,12,60,1
"846",80,12,12,1
"847",80,12,17,1
"848",80,12,14,1
"849",80,12,3,1
"850",80,12,10,1
"851",80,12,10,1
"852",80,12,8,1
"853",80,12,57,1
"854",80,12,20,1
"855",80,12,5,1
"856",80,12,21,1
"857",80,12,30,1
"858",80,12,9,1
"859",80,12,6,1
"860",80,12,10,1
"861",80,12,2,1
"862",80,12,3,1
"863",80,12,17,1
"864",80,12,10,1
"865",80,12,22,1
"866",80,12,60,1
"867",80,12,16,1
"868",80,12,28,1
"869",80,12,11,1
"870",80,12,29,1
"871",80,12,9,1
"872",80,12,25,1
"873",80,12,65,1
"874",80,12,12,1
"875",80,12,55,1
"876",80,12,16,1
"877",80,12,20,1
"878",80,12,15,1
"879",80,12,11,1
"880",80,12,7,1
"881",80,12,3,1
"882",80,12,25,1
"883",80,12,37,1
"884",80,12,22,1
"885",80,12,15,1
"886",80,12,13,1
"887",80,12,12,1
"888",80,12,9,1
"889",80,12,13,1
"890",80,12,5,1
"891",80,12,10,1
"892",80,12,26,1
"893",80,12,17,1
"894",80,12,11,1
"895",80,12,12,1
"896",80,12,9,1
"897",80,12,15,1
"898",80,12,35,1
"899",80,12,6,1
"900",80,12,8,1
"901",80,12,21,1
"902",80,12,17,1
"903",80,12,5,1
"904",80,12,31,1
"905",80,12,19,1
"906",80,12,60,1
"907",80,12,16,1
"908",80,12,24,1
"909",80,12,30,1
"910",80,12,45,1
"911",80,12,17,1
"912",80,12,23,1
"913",80,12,39,1
"914",80,12,11,1
"915",80,12,4,1
"916",80,12,11,1
"917",80,12,13,1
"918",80,12,14,1
"919",80,12,26,1
"920",80,12,22,1
"921",80,12,19,1
"922",80,12,29,1
"923",80,12,27,1
"924",80,12,22,1
"925",80,12,19,1
"926",80,12,26,1
"927",80,12,9,1
"928",80,12,44,1
"929",80,12,20,1
"930",80,12,10,1
"931",80,12,13,1
"932",80,12,22,1
"933",80,12,16,1
"934",80,12,27,1
"935",80,12,14,1
"936",80,12,14,1
"937",80,12,11,1
"938",80,12,4,1
"939",80,12,33,1
"940",80,12,4,1
"941",80,12,12,1
"942",80,12,29,1
"943",80,12,30,1
"944",80,12,3,1
"945",80,12,15,1
"946",80,12,6,1
"947",80,12,10,1
"948",80,12,5,1
"949",80,12,23,1
"950",80,12,9,1
"951",80,12,13,1
"952",80,12,14,1
"953",80,12,4,1
"954",80,12,46,1
"955",80,12,9,1
"956",80,12,10,1
"957",80,12,8,1
"958",80,12,10,1
"959",80,12,10,1
"960",80,12,6,1
"961",80,12,12,1
"962",80,12,6,1
"963",80,12,21,1
"964",80,12,19,1
"965",80,12,9,1
"966",80,12,22,1
"967",80,12,12,1
"968",80,12,55,1
"969",80,12,2,1
"970",80,12,9,1
"971",80,12,12,1
"972",80,12,15,1
"973",80,12,6,1
"974",80,12,15,1
"975",80,12,12,1
"976",80,12,55,1
"977",80,12,14,1
"978",80,12,19,1
"979",80,12,12,1
"980",80,12,3,1
"981",80,12,50,1
"982",80,12,16,1
"983",80,12,33,1
"984",80,12,22,1
"985",80,12,9,1
"986",80,12,63,1
"987",80,12,10,1
"988",80,12,18,1
"989",80,12,18,1
"990",80,12,10,1
"991",80,12,10,1
"992",80,12,23,1
"993",80,12,13,1
"994",80,12,12,1
"995",80,12,9,1
"996",80,12,36,1
"997",80,12,18,1
"998",80,12,35,1
"999",80,12,28,1
"1000",80,12,64,1
"1001",90,12,15,1
"1002",90,12,14,1
"1003",90,12,22,1
"1004",90,12,12,1
"1005",90,12,3,1
"1006",90,12,4,1
"1007",90,12,6,1
"1008",90,12,9,1
"1009",90,12,3,1
"1010",90,12,6,1
"1011",90,12,15,1
"1012",90,12,28,1
"1013",90,12,8,1
"1014",90,12,17,1
"1015",90,12,28,1
"1016",90,12,6,1
"1017",90,12,15,1
"1018",90,12,15,1
"1019",90,12,18,1
"1020",90,12,6,1
"1021",90,12,13,1
"1022",90,12,4,1
"1023",90,12,9,1
"1024",90,12,10,1
"1025",90,12,4,1
"1026",90,12,11,1
"1027",90,12,48,1
"1028",90,12,18,1
"1029",90,12,2,1
"1030",90,12,7,1
"1031",90,12,3,1
"1032",90,12,15,1
"1033",90,12,5,1
"1034",90,12,14,1
"1035",90,12,20,1
"1036",90,12,8,1
"1037",90,12,17,1
"1038",90,12,20,1
"1039",90,12,6,1
"1040",90,12,31,1
"1041",90,12,2,1
"1042",90,12,3,1
"1043",90,12,11,1
"1044",90,12,20,1
"1045",90,12,13,1
"1046",90,12,6,1
"1047",90,12,14,1
"1048",90,12,7,1
"1049",90,12,11,1
"1050",90,12,17,1
"1051",90,12,31,1
"1052",90,12,6,1
"1053",90,12,15,1
"1054",90,12,23,1
"1055",90,12,6,1
"1056",90,12,6,1
"1057",90,12,7,1
"1058",90,12,12,1
"1059",90,12,10,1
"1060",90,12,6,1
"1061",90,12,21,1
"1062",90,12,11,1
"1063",90,12,18,1
"1064",90,12,18,1
"1065",90,12,23,1
"1066",90,12,5,1
"1067",90,12,27,1
"1068",90,12,10,1
"1069",90,12,6,1
"1070",90,12,17,1
"1071",90,12,20,1
"1072",90,12,6,1
"1073",90,12,56,1
"1074",90,12,8,1
"1075",90,12,34,1
"1076",90,12,17,1
"1077",90,12,21,1
"1078",90,12,38,1
"1079",90,12,15,1
"1080",90,12,20,1
"1081",90,12,10,1
"1082",90,12,11,1
"1083",90,12,21,1
"1084",90,12,11,1
"1085",90,12,15,1
"1086",90,12,15,1
"1087",90,12,14,1
"1088",90,12,13,1
"1089",90,12,6,1
"1090",90,12,14,1
"1091",90,12,22,1
"1092",90,12,20,1
"1093",90,12,30,1
"1094",90,12,5,1
"1095",90,12,10,1
"1096",90,12,5,1
"1097",90,12,16,1
"1098",90,12,27,1
"1099",90,12,2,1
"1100",90,12,15,1
"1101",90,12,32,1
"1102",90,12,14,1
"1103",90,12,10,1
"1104",90,12,12,1
"1105",90,12,15,1
"1106",90,12,8,1
"1107",90,12,6,1
"1108",90,12,11,1
"1109",90,12,7,1
"1110",90,12,40,1
"1111",90,12,8,1
"1112",90,12,7,1
"1113",90,12,28,1
"1114",90,12,6,1
"1115",90,12,12,1
"1116",90,12,37,1
"1117",90,12,6,1
"1118",90,12,40,1
"1119",90,12,21,1
"1120",90,12,14,1
"1121",90,12,14,1
"1122",90,12,13,1
"1123",90,12,10,1
"1124",90,12,12,1
"1125",90,12,23,1
"1126",90,12,23,1
"1127",90,12,12,1
"1128",90,12,14,1
"1129",90,12,7,1
"1130",90,12,16,1
"1131",90,12,18,1
"1132",90,12,6,1
"1133",90,12,21,1
"1134",90,12,72,1
"1135",90,12,15,1
"1136",90,12,10,1
"1137",90,12,6,1
"1138",90,12,5,1
"1139",90,12,5,1
"1140",90,12,2,1
"1141",90,12,19,1
"1142",90,12,26,1
"1143",90,12,33,1
"1144",90,12,15,1
"1145",90,12,9,1
"1146",90,12,27,1
"1147",90,12,36,1
"1148",90,12,6,1
"1149",90,12,9,1
"1150",90,12,15,1
"1151",90,12,17,1
"1152",90,12,20,1
"1153",90,12,25,1
"1154",90,12,25,1
"1155",90,12,10,1
"1156",90,12,17,1
"1157",90,12,8,1
"1158",90,12,11,1
"1159",90,12,24,1
"1160",90,12,14,1
"1161",90,12,7,1
"1162",90,12,10,1
"1163",90,12,19,1
"1164",90,12,5,1
"1165",90,12,6,1
"1166",90,12,30,1
"1167",90,12,11,1
"1168",90,12,11,1
"1169",90,12,12,1
"1170",90,12,17,1
"1171",90,12,16,1
"1172",90,12,9,1
"1173",90,12,14,1
"1174",90,12,17,1
"1175",90,12,11,1
"1176",90,12,12,1
"1177",90,12,7,1
"1178",90,12,21,1
"1179",90,12,24,1
"1180",90,12,12,1
"1181",90,12,8,1
"1182",90,12,15,1
"1183",90,12,20,1
"1184",90,12,55,1
"1185",90,12,14,1
"1186",90,12,12,1
"1187",90,12,7,1
"1188",90,12,12,1
"1189",90,12,17,1
"1190",90,12,18,1
"1191",90,12,5,1
"1192",90,12,32,1
"1193",90,12,9,1
"1194",90,12,20,1
"1195",90,12,18,1
"1196",90,12,7,1
"1197",90,12,11,1
"1198",90,12,17,1
"1199",90,12,22,1
"1200",90,12,61,1
"1201",40,15,9,1
"1202",40,15,22,1
"1203",40,15,24,1
"1204",40,15,46,1
"1205",40,15,13,1
"1206",40,15,10,1
"1207",40,15,27,1
"1208",40,15,34,1
"1209",40,15,3,1
"1210",40,15,3,1
"1211",40,15,12,1
"1212",40,15,5,1
"1213",40,15,26,1
"1214",40,15,28,1
"1215",40,15,40,1
"1216",40,15,8,1
"1217",40,15,20,1
"1218",40,15,23,1
"1219",40,15,18,1
"1220",40,15,39,1
"1221",40,15,16,1
"1222",40,15,28,1
"1223",40,15,11,1
"1224",40,15,8,1
"1225",40,15,10,1
"1226",40,15,6,1
"1227",40,15,31,1
"1228",40,15,33,1
"1229",40,15,4,1
"1230",40,15,5,1
"1231",40,15,38,1
"1232",40,15,5,1
"1233",40,15,12,1
"1234",40,15,18,1
"1235",40,15,6,1
"1236",40,15,39,1
"1237",40,15,13,1
"1238",40,15,242,1
"1239",40,15,59,1
"1240",40,15,10,1
"1241",40,15,47,1
"1242",40,15,58,1
"1243",40,15,11,1
"1244",40,15,13,1
"1245",40,15,5,1
"1246",40,15,41,1
"1247",40,15,3,1
