"","n","k","Largos","NA","distri"
"167",40,12,11,2,2
"168",40,12,5,2,2
"169",40,12,47,2,2
"170",40,12,149,2,2
"171",40,12,121,2,2
"172",40,12,67,2,2
"173",40,12,159,2,2
"174",40,12,11,2,2
"175",40,12,9,2,2
"176",40,12,66,2,2
"177",40,12,29,2,2
"178",40,12,20,2,2
"179",40,12,16,2,2
"180",40,12,3,2,2
"181",40,12,16,2,2
"182",40,12,6,2,2
"183",40,12,12,2,2
"184",40,12,10,2,2
"185",40,12,16,2,2
"186",40,12,155,2,2
"187",40,12,20,2,2
"188",40,12,28,2,2
"189",40,12,19,2,2
"190",40,12,13,2,2
"191",40,12,16,2,2
"192",40,12,17,2,2
"193",40,12,36,2,2
"194",40,12,8,2,2
"195",40,12,139,2,2
"196",40,12,15,2,2
"197",40,12,13,2,2
"198",40,12,15,2,2
"199",40,12,17,2,2
"200",40,12,40,2,2
"201",50,12,5,2,2
"202",50,12,22,2,2
"203",50,12,19,2,2
"204",50,12,10,2,2
"205",50,12,33,2,2
"206",50,12,13,2,2
"207",50,12,8,2,2
"208",50,12,23,2,2
"209",50,12,17,2,2
"210",50,12,7,2,2
"211",50,12,15,2,2
"212",50,12,19,2,2
"213",50,12,20,2,2
"214",50,12,9,2,2
"215",50,12,22,2,2
"216",50,12,11,2,2
"217",50,12,7,2,2
"218",50,12,9,2,2
"219",50,12,20,2,2
"220",50,12,23,2,2
"221",50,12,42,2,2
"222",50,12,7,2,2
"223",50,12,15,2,2
"224",50,12,11,2,2
"225",50,12,6,2,2
"226",50,12,27,2,2
"227",50,12,18,2,2
"228",50,12,3,2,2
"229",50,12,6,2,2
"230",50,12,13,2,2
"231",50,12,10,2,2
"232",50,12,14,2,2
"233",50,12,13,2,2
"234",50,12,13,2,2
"235",50,12,64,2,2
"236",50,12,14,2,2
"237",50,12,10,2,2
"238",50,12,10,2,2
"239",50,12,7,2,2
"240",50,12,9,2,2
"241",50,12,13,2,2
"242",50,12,20,2,2
"243",50,12,15,2,2
"244",50,12,4,2,2
"245",50,12,10,2,2
"246",50,12,13,2,2
"247",50,12,3,2,2
"248",50,12,8,2,2
"249",50,12,10,2,2
"250",50,12,14,2,2
"251",50,12,40,2,2
"252",50,12,8,2,2
"253",50,12,10,2,2
"254",50,12,17,2,2
"255",50,12,32,2,2
"256",50,12,91,2,2
"257",50,12,42,2,2
"258",50,12,13,2,2
"259",50,12,20,2,2
"260",50,12,15,2,2
"261",50,12,19,2,2
"262",50,12,11,2,2
"263",50,12,6,2,2
"264",50,12,7,2,2
"265",50,12,6,2,2
"266",50,12,12,2,2
"267",50,12,15,2,2
"268",50,12,20,2,2
"269",50,12,41,2,2
"270",50,12,63,2,2
"271",50,12,5,2,2
"272",50,12,13,2,2
"273",50,12,6,2,2
"274",50,12,6,2,2
"275",50,12,13,2,2
"276",50,12,15,2,2
"277",50,12,12,2,2
"278",50,12,49,2,2
"279",50,12,133,2,2
"280",50,12,88,2,2
"281",50,12,8,2,2
"282",50,12,18,2,2
"283",50,12,16,2,2
"284",50,12,14,2,2
"285",50,12,7,2,2
"286",50,12,14,2,2
"287",50,12,14,2,2
"288",50,12,18,2,2
"289",50,12,16,2,2
"290",50,12,19,2,2
"291",50,12,17,2,2
"292",50,12,30,2,2
"293",50,12,35,2,2
"294",50,12,24,2,2
"295",50,12,31,2,2
"296",50,12,23,2,2
"297",50,12,16,2,2
"298",50,12,8,2,2
"299",50,12,11,2,2
"300",50,12,9,2,2
"301",50,12,20,2,2
"302",50,12,13,2,2
"303",50,12,8,2,2
"304",50,12,5,2,2
"305",50,12,10,2,2
"306",50,12,8,2,2
"307",50,12,55,2,2
"308",50,12,41,2,2
"309",50,12,80,2,2
"310",50,12,27,2,2
"311",50,12,75,2,2
"312",50,12,4,2,2
"313",50,12,6,2,2
"314",50,12,42,2,2
"315",50,12,8,2,2
"316",50,12,10,2,2
"317",50,12,33,2,2
"318",50,12,9,2,2
"319",50,12,17,2,2
"320",50,12,28,2,2
"321",50,12,16,2,2
"322",50,12,8,2,2
"323",50,12,12,2,2
"324",50,12,5,2,2
"325",50,12,37,2,2
"326",50,12,23,2,2
"327",50,12,9,2,2
"328",50,12,25,2,2
"329",50,12,9,2,2
"330",50,12,51,2,2
"331",50,12,19,2,2
"332",50,12,18,2,2
"333",50,12,13,2,2
"334",50,12,4,2,2
"335",50,12,62,2,2
"336",50,12,16,2,2
"337",50,12,21,2,2
"338",50,12,11,2,2
"339",50,12,10,2,2
"340",50,12,22,2,2
"341",50,12,25,2,2
"342",50,12,8,2,2
"343",50,12,18,2,2
"344",50,12,103,2,2
"345",50,12,10,2,2
"346",50,12,6,2,2
"347",50,12,14,2,2
"348",50,12,40,2,2
"349",50,12,69,2,2
"350",50,12,13,2,2
"351",50,12,21,2,2
"352",50,12,4,2,2
"353",50,12,8,2,2
"354",50,12,24,2,2
"355",50,12,8,2,2
"356",50,12,5,2,2
"357",50,12,12,2,2
"358",50,12,9,2,2
"359",50,12,17,2,2
"360",50,12,5,2,2
"361",50,12,13,2,2
"362",50,12,23,2,2
"363",50,12,8,2,2
"364",50,12,19,2,2
"365",50,12,6,2,2
"366",50,12,19,2,2
"367",50,12,16,2,2
"368",50,12,14,2,2
"369",50,12,12,2,2
"370",50,12,13,2,2
"371",50,12,38,2,2
"372",50,12,59,2,2
"373",50,12,111,2,2
"374",50,12,19,2,2
"375",50,12,15,2,2
"376",50,12,28,2,2
"377",50,12,9,2,2
"378",50,12,35,2,2
"379",50,12,12,2,2
"380",50,12,6,2,2
"381",50,12,14,2,2
"382",50,12,12,2,2
"383",50,12,18,2,2
"384",50,12,7,2,2
"385",50,12,22,2,2
"386",50,12,27,2,2
"387",50,12,12,2,2
"388",50,12,29,2,2
"389",50,12,14,2,2
"390",50,12,24,2,2
"391",50,12,6,2,2
"392",50,12,19,2,2
"393",50,12,16,2,2
"394",50,12,20,2,2
"395",50,12,21,2,2
"396",50,12,14,2,2
"397",50,12,13,2,2
"398",50,12,8,2,2
"399",50,12,14,2,2
"400",50,12,10,2,2
"401",60,12,10,2,2
"402",60,12,16,2,2
"403",60,12,15,2,2
"404",60,12,12,2,2
"405",60,12,22,2,2
"406",60,12,8,2,2
"407",60,12,46,2,2
"408",60,12,6,2,2
"409",60,12,60,2,2
"410",60,12,10,2,2
"411",60,12,19,2,2
"412",60,12,7,2,2
"413",60,12,19,2,2
"414",60,12,7,2,2
"415",60,12,16,2,2
"416",60,12,7,2,2
"417",60,12,22,2,2
"418",60,12,14,2,2
"419",60,12,7,2,2
"420",60,12,13,2,2
"421",60,12,9,2,2
"422",60,12,12,2,2
"423",60,12,19,2,2
"424",60,12,14,2,2
"425",60,12,9,2,2
"426",60,12,3,2,2
"427",60,12,17,2,2
"428",60,12,7,2,2
"429",60,12,18,2,2
"430",60,12,24,2,2
"431",60,12,14,2,2
"432",60,12,27,2,2
"433",60,12,21,2,2
"434",60,12,17,2,2
"435",60,12,24,2,2
"436",60,12,13,2,2
"437",60,12,44,2,2
"438",60,12,7,2,2
"439",60,12,16,2,2
"440",60,12,21,2,2
"441",60,12,9,2,2
"442",60,12,13,2,2
"443",60,12,11,2,2
"444",60,12,6,2,2
"445",60,12,9,2,2
"446",60,12,28,2,2
"447",60,12,23,2,2
"448",60,12,15,2,2
"449",60,12,24,2,2
"450",60,12,12,2,2
"451",60,12,34,2,2
"452",60,12,12,2,2
"453",60,12,9,2,2
"454",60,12,19,2,2
"455",60,12,16,2,2
"456",60,12,19,2,2
"457",60,12,21,2,2
"458",60,12,7,2,2
"459",60,12,16,2,2
"460",60,12,72,2,2
"461",60,12,13,2,2
"462",60,12,13,2,2
"463",60,12,13,2,2
"464",60,12,94,2,2
"465",60,12,13,2,2
"466",60,12,10,2,2
"467",60,12,12,2,2
"468",60,12,11,2,2
"469",60,12,33,2,2
"470",60,12,6,2,2
"471",60,12,29,2,2
"472",60,12,5,2,2
"473",60,12,5,2,2
"474",60,12,11,2,2
"475",60,12,39,2,2
"476",60,12,27,2,2
"477",60,12,11,2,2
"478",60,12,7,2,2
"479",60,12,13,2,2
"480",60,12,24,2,2
"481",60,12,8,2,2
"482",60,12,8,2,2
"483",60,12,24,2,2
"484",60,12,7,2,2
"485",60,12,11,2,2
"486",60,12,6,2,2
"487",60,12,29,2,2
"488",60,12,8,2,2
"489",60,12,17,2,2
"490",60,12,28,2,2
"491",60,12,8,2,2
"492",60,12,6,2,2
"493",60,12,6,2,2
"494",60,12,12,2,2
"495",60,12,17,2,2
"496",60,12,14,2,2
"497",60,12,16,2,2
"498",60,12,2,2,2
"499",60,12,10,2,2
"500",60,12,36,2,2
"501",60,12,12,2,2
"502",60,12,18,2,2
"503",60,12,20,2,2
"504",60,12,19,2,2
"505",60,12,11,2,2
"506",60,12,11,2,2
"507",60,12,12,2,2
"508",60,12,10,2,2
"509",60,12,8,2,2
"510",60,12,4,2,2
"511",60,12,70,2,2
"512",60,12,10,2,2
"513",60,12,50,2,2
"514",60,12,9,2,2
"515",60,12,10,2,2
"516",60,12,3,2,2
"517",60,12,54,2,2
"518",60,12,4,2,2
"519",60,12,9,2,2
"520",60,12,22,2,2
"521",60,12,11,2,2
"522",60,12,4,2,2
"523",60,12,19,2,2
"524",60,12,61,2,2
"525",60,12,2,2,2
"526",60,12,17,2,2
"527",60,12,8,2,2
"528",60,12,37,2,2
"529",60,12,10,2,2
"530",60,12,17,2,2
"531",60,12,15,2,2
"532",60,12,71,2,2
"533",60,12,12,2,2
"534",60,12,2,2,2
"535",60,12,14,2,2
"536",60,12,6,2,2
"537",60,12,10,2,2
"538",60,12,21,2,2
"539",60,12,11,2,2
"540",60,12,16,2,2
"541",60,12,44,2,2
"542",60,12,27,2,2
"543",60,12,11,2,2
"544",60,12,14,2,2
"545",60,12,9,2,2
"546",60,12,8,2,2
"547",60,12,14,2,2
"548",60,12,13,2,2
"549",60,12,11,2,2
"550",60,12,21,2,2
"551",60,12,8,2,2
"552",60,12,117,2,2
"553",60,12,18,2,2
"554",60,12,5,2,2
"555",60,12,14,2,2
"556",60,12,16,2,2
"557",60,12,21,2,2
"558",60,12,17,2,2
"559",60,12,22,2,2
"560",60,12,8,2,2
"561",60,12,13,2,2
"562",60,12,22,2,2
"563",60,12,11,2,2
"564",60,12,38,2,2
"565",60,12,11,2,2
"566",60,12,13,2,2
"567",60,12,13,2,2
"568",60,12,13,2,2
"569",60,12,6,2,2
"570",60,12,34,2,2
"571",60,12,24,2,2
"572",60,12,9,2,2
"573",60,12,20,2,2
"574",60,12,17,2,2
"575",60,12,38,2,2
"576",60,12,9,2,2
"577",60,12,17,2,2
"578",60,12,76,2,2
"579",60,12,24,2,2
"580",60,12,3,2,2
"581",60,12,17,2,2
"582",60,12,15,2,2
"583",60,12,9,2,2
"584",60,12,31,2,2
"585",60,12,3,2,2
"586",60,12,18,2,2
"587",60,12,53,2,2
"588",60,12,7,2,2
"589",60,12,23,2,2
"590",60,12,17,2,2
"591",60,12,15,2,2
"592",60,12,16,2,2
"593",60,12,2,2,2
"594",60,12,15,2,2
"595",60,12,4,2,2
"596",60,12,15,2,2
"597",60,12,16,2,2
"598",60,12,13,2,2
"599",60,12,6,2,2
"600",60,12,29,2,2
"601",70,12,5,2,2
"602",70,12,38,2,2
"603",70,12,9,2,2
"604",70,12,9,2,2
"605",70,12,20,2,2
"606",70,12,10,2,2
"607",70,12,7,2,2
"608",70,12,9,2,2
"609",70,12,20,2,2
"610",70,12,30,2,2
"611",70,12,19,2,2
"612",70,12,12,2,2
"613",70,12,10,2,2
"614",70,12,7,2,2
"615",70,12,7,2,2
"616",70,12,14,2,2
"617",70,12,27,2,2
"618",70,12,11,2,2
"619",70,12,4,2,2
"620",70,12,12,2,2
"621",70,12,9,2,2
"622",70,12,34,2,2
"623",70,12,14,2,2
"624",70,12,55,2,2
"625",70,12,12,2,2
"626",70,12,9,2,2
"627",70,12,7,2,2
"628",70,12,12,2,2
"629",70,12,53,2,2
"630",70,12,14,2,2
"631",70,12,10,2,2
"632",70,12,29,2,2
"633",70,12,11,2,2
"634",70,12,19,2,2
"635",70,12,27,2,2
"636",70,12,9,2,2
"637",70,12,10,2,2
"638",70,12,24,2,2
"639",70,12,4,2,2
"640",70,12,20,2,2
"641",70,12,30,2,2
"642",70,12,11,2,2
"643",70,12,43,2,2
"644",70,12,11,2,2
"645",70,12,8,2,2
"646",70,12,9,2,2
"647",70,12,37,2,2
"648",70,12,16,2,2
"649",70,12,35,2,2
"650",70,12,65,2,2
"651",70,12,8,2,2
"652",70,12,14,2,2
"653",70,12,9,2,2
"654",70,12,13,2,2
"655",70,12,12,2,2
"656",70,12,13,2,2
"657",70,12,13,2,2
"658",70,12,9,2,2
"659",70,12,21,2,2
"660",70,12,12,2,2
"661",70,12,15,2,2
"662",70,12,2,2,2
"663",70,12,36,2,2
"664",70,12,18,2,2
"665",70,12,16,2,2
"666",70,12,28,2,2
"667",70,12,26,2,2
"668",70,12,18,2,2
"669",70,12,7,2,2
"670",70,12,8,2,2
"671",70,12,32,2,2
"672",70,12,9,2,2
"673",70,12,56,2,2
"674",70,12,15,2,2
"675",70,12,18,2,2
"676",70,12,10,2,2
"677",70,12,16,2,2
"678",70,12,47,2,2
"679",70,12,12,2,2
"680",70,12,9,2,2
"681",70,12,8,2,2
"682",70,12,33,2,2
"683",70,12,16,2,2
"684",70,12,15,2,2
"685",70,12,13,2,2
"686",70,12,9,2,2
"687",70,12,9,2,2
"688",70,12,51,2,2
"689",70,12,25,2,2
"690",70,12,24,2,2
"691",70,12,26,2,2
"692",70,12,15,2,2
"693",70,12,3,2,2
"694",70,12,12,2,2
"695",70,12,4,2,2
"696",70,12,13,2,2
"697",70,12,110,2,2
"698",70,12,27,2,2
"699",70,12,74,2,2
"700",70,12,9,2,2
"701",70,12,5,2,2
"702",70,12,11,2,2
"703",70,12,20,2,2
"704",70,12,90,2,2
"705",70,12,3,2,2
"706",70,12,12,2,2
"707",70,12,91,2,2
"708",70,12,17,2,2
"709",70,12,108,2,2
"710",70,12,20,2,2
"711",70,12,16,2,2
"712",70,12,6,2,2
"713",70,12,11,2,2
"714",70,12,11,2,2
"715",70,12,13,2,2
"716",70,12,13,2,2
"717",70,12,12,2,2
"718",70,12,10,2,2
"719",70,12,7,2,2
"720",70,12,47,2,2
"721",70,12,4,2,2
"722",70,12,14,2,2
"723",70,12,16,2,2
"724",70,12,5,2,2
"725",70,12,4,2,2
"726",70,12,16,2,2
"727",70,12,18,2,2
"728",70,12,15,2,2
"729",70,12,18,2,2
"730",70,12,19,2,2
"731",70,12,18,2,2
"732",70,12,16,2,2
"733",70,12,30,2,2
"734",70,12,28,2,2
"735",70,12,110,2,2
"736",70,12,31,2,2
"737",70,12,14,2,2
"738",70,12,20,2,2
"739",70,12,7,2,2
"740",70,12,13,2,2
"741",70,12,10,2,2
"742",70,12,3,2,2
"743",70,12,12,2,2
"744",70,12,17,2,2
"745",70,12,11,2,2
"746",70,12,20,2,2
"747",70,12,4,2,2
"748",70,12,6,2,2
"749",70,12,35,2,2
"750",70,12,5,2,2
"751",70,12,17,2,2
"752",70,12,17,2,2
"753",70,12,11,2,2
"754",70,12,15,2,2
"755",70,12,7,2,2
"756",70,12,4,2,2
"757",70,12,10,2,2
"758",70,12,14,2,2
"759",70,12,152,2,2
"760",70,12,9,2,2
"761",70,12,75,2,2
"762",70,12,19,2,2
"763",70,12,6,2,2
"764",70,12,15,2,2
"765",70,12,10,2,2
"766",70,12,14,2,2
"767",70,12,7,2,2
"768",70,12,11,2,2
"769",70,12,24,2,2
"770",70,12,14,2,2
"771",70,12,2,2,2
"772",70,12,13,2,2
"773",70,12,12,2,2
"774",70,12,26,2,2
"775",70,12,13,2,2
"776",70,12,17,2,2
"777",70,12,11,2,2
"778",70,12,19,2,2
"779",70,12,22,2,2
"780",70,12,5,2,2
"781",70,12,6,2,2
"782",70,12,17,2,2
"783",70,12,27,2,2
"784",70,12,18,2,2
"785",70,12,7,2,2
"786",70,12,11,2,2
"787",70,12,24,2,2
"788",70,12,26,2,2
"789",70,12,17,2,2
"790",70,12,52,2,2
"791",70,12,22,2,2
"792",70,12,25,2,2
"793",70,12,46,2,2
"794",70,12,9,2,2
"795",70,12,54,2,2
"796",70,12,5,2,2
"797",70,12,32,2,2
"798",70,12,6,2,2
"799",70,12,12,2,2
"800",70,12,3,2,2
"801",80,12,9,2,2
"802",80,12,19,2,2
"803",80,12,23,2,2
"804",80,12,10,2,2
"805",80,12,24,2,2
"806",80,12,8,2,2
"807",80,12,23,2,2
"808",80,12,11,2,2
"809",80,12,14,2,2
"810",80,12,11,2,2
"811",80,12,14,2,2
"812",80,12,8,2,2
"813",80,12,10,2,2
"814",80,12,28,2,2
"815",80,12,17,2,2
"816",80,12,11,2,2
"817",80,12,14,2,2
"818",80,12,7,2,2
"819",80,12,11,2,2
"820",80,12,23,2,2
"821",80,12,57,2,2
"822",80,12,14,2,2
"823",80,12,21,2,2
"824",80,12,7,2,2
"825",80,12,2,2,2
"826",80,12,14,2,2
"827",80,12,17,2,2
"828",80,12,13,2,2
"829",80,12,16,2,2
"830",80,12,42,2,2
"831",80,12,3,2,2
"832",80,12,12,2,2
"833",80,12,11,2,2
"834",80,12,15,2,2
"835",80,12,4,2,2
"836",80,12,17,2,2
"837",80,12,12,2,2
"838",80,12,15,2,2
"839",80,12,5,2,2
"840",80,12,9,2,2
"841",80,12,27,2,2
"842",80,12,9,2,2
"843",80,12,12,2,2
"844",80,12,14,2,2
"845",80,12,6,2,2
"846",80,12,29,2,2
"847",80,12,4,2,2
"848",80,12,18,2,2
"849",80,12,9,2,2
"850",80,12,12,2,2
"851",80,12,16,2,2
"852",80,12,12,2,2
"853",80,12,16,2,2
"854",80,12,14,2,2
"855",80,12,19,2,2
"856",80,12,13,2,2
"857",80,12,24,2,2
"858",80,12,16,2,2
"859",80,12,21,2,2
"860",80,12,17,2,2
"861",80,12,20,2,2
"862",80,12,7,2,2
"863",80,12,4,2,2
"864",80,12,14,2,2
"865",80,12,29,2,2
"866",80,12,8,2,2
"867",80,12,11,2,2
"868",80,12,36,2,2
"869",80,12,8,2,2
"870",80,12,9,2,2
"871",80,12,9,2,2
"872",80,12,16,2,2
"873",80,12,19,2,2
"874",80,12,14,2,2
"875",80,12,5,2,2
"876",80,12,7,2,2
"877",80,12,135,2,2
"878",80,12,10,2,2
"879",80,12,8,2,2
"880",80,12,11,2,2
"881",80,12,18,2,2
"882",80,12,21,2,2
"883",80,12,8,2,2
"884",80,12,6,2,2
"885",80,12,27,2,2
"886",80,12,15,2,2
"887",80,12,14,2,2
"888",80,12,6,2,2
"889",80,12,19,2,2
"890",80,12,20,2,2
"891",80,12,23,2,2
"892",80,12,24,2,2
"893",80,12,7,2,2
"894",80,12,14,2,2
"895",80,12,16,2,2
"896",80,12,56,2,2
"897",80,12,19,2,2
"898",80,12,10,2,2
"899",80,12,16,2,2
"900",80,12,16,2,2
"901",80,12,5,2,2
"902",80,12,13,2,2
"903",80,12,26,2,2
"904",80,12,17,2,2
"905",80,12,19,2,2
"906",80,12,14,2,2
"907",80,12,15,2,2
"908",80,12,5,2,2
"909",80,12,20,2,2
"910",80,12,33,2,2
"911",80,12,20,2,2
"912",80,12,11,2,2
"913",80,12,8,2,2
"914",80,12,20,2,2
"915",80,12,13,2,2
"916",80,12,5,2,2
"917",80,12,7,2,2
"918",80,12,9,2,2
"919",80,12,4,2,2
"920",80,12,6,2,2
"921",80,12,5,2,2
"922",80,12,4,2,2
"923",80,12,19,2,2
"924",80,12,11,2,2
"925",80,12,40,2,2
"926",80,12,11,2,2
"927",80,12,8,2,2
"928",80,12,8,2,2
"929",80,12,16,2,2
"930",80,12,6,2,2
"931",80,12,9,2,2
"932",80,12,11,2,2
"933",80,12,11,2,2
"934",80,12,18,2,2
"935",80,12,29,2,2
"936",80,12,10,2,2
"937",80,12,15,2,2
"938",80,12,4,2,2
"939",80,12,19,2,2
"940",80,12,17,2,2
"941",80,12,6,2,2
"942",80,12,3,2,2
"943",80,12,9,2,2
"944",80,12,18,2,2
"945",80,12,18,2,2
"946",80,12,8,2,2
"947",80,12,7,2,2
"948",80,12,15,2,2
"949",80,12,9,2,2
"950",80,12,5,2,2
"951",80,12,26,2,2
"952",80,12,17,2,2
"953",80,12,15,2,2
"954",80,12,30,2,2
"955",80,12,6,2,2
"956",80,12,11,2,2
"957",80,12,9,2,2
"958",80,12,2,2,2
"959",80,12,17,2,2
"960",80,12,14,2,2
"961",80,12,11,2,2
"962",80,12,11,2,2
"963",80,12,5,2,2
"964",80,12,4,2,2
"965",80,12,20,2,2
"966",80,12,5,2,2
"967",80,12,29,2,2
"968",80,12,11,2,2
"969",80,12,12,2,2
"970",80,12,36,2,2
"971",80,12,4,2,2
"972",80,12,6,2,2
"973",80,12,12,2,2
"974",80,12,8,2,2
"975",80,12,12,2,2
"976",80,12,38,2,2
"977",80,12,14,2,2
"978",80,12,7,2,2
"979",80,12,6,2,2
"980",80,12,12,2,2
"981",80,12,15,2,2
"982",80,12,26,2,2
"983",80,12,19,2,2
"984",80,12,15,2,2
"985",80,12,13,2,2
"986",80,12,14,2,2
"987",80,12,24,2,2
"988",80,12,12,2,2
"989",80,12,10,2,2
"990",80,12,7,2,2
"991",80,12,3,2,2
"992",80,12,20,2,2
"993",80,12,16,2,2
"994",80,12,28,2,2
"995",80,12,4,2,2
"996",80,12,7,2,2
"997",80,12,3,2,2
"998",80,12,22,2,2
"999",80,12,68,2,2
"1000",80,12,20,2,2
"1001",90,12,20,2,2
"1002",90,12,13,2,2
"1003",90,12,10,2,2
"1004",90,12,36,2,2
"1005",90,12,34,2,2
"1006",90,12,18,2,2
"1007",90,12,24,2,2
"1008",90,12,11,2,2
"1009",90,12,5,2,2
"1010",90,12,13,2,2
"1011",90,12,16,2,2
"1012",90,12,29,2,2
"1013",90,12,5,2,2
"1014",90,12,7,2,2
"1015",90,12,8,2,2
"1016",90,12,12,2,2
"1017",90,12,59,2,2
"1018",90,12,31,2,2
"1019",90,12,5,2,2
"1020",90,12,17,2,2
"1021",90,12,9,2,2
"1022",90,12,13,2,2
"1023",90,12,29,2,2
"1024",90,12,14,2,2
"1025",90,12,10,2,2
"1026",90,12,21,2,2
"1027",90,12,31,2,2
"1028",90,12,18,2,2
"1029",90,12,8,2,2
"1030",90,12,6,2,2
"1031",90,12,17,2,2
"1032",90,12,18,2,2
"1033",90,12,14,2,2
"1034",90,12,19,2,2
"1035",90,12,15,2,2
"1036",90,12,23,2,2
"1037",90,12,17,2,2
"1038",90,12,24,2,2
"1039",90,12,6,2,2
"1040",90,12,11,2,2
"1041",90,12,4,2,2
"1042",90,12,12,2,2
"1043",90,12,8,2,2
"1044",90,12,14,2,2
"1045",90,12,6,2,2
"1046",90,12,9,2,2
"1047",90,12,5,2,2
"1048",90,12,23,2,2
"1049",90,12,16,2,2
"1050",90,12,19,2,2
"1051",90,12,6,2,2
"1052",90,12,5,2,2
"1053",90,12,23,2,2
"1054",90,12,9,2,2
"1055",90,12,12,2,2
"1056",90,12,13,2,2
"1057",90,12,21,2,2
"1058",90,12,7,2,2
"1059",90,12,8,2,2
"1060",90,12,20,2,2
"1061",90,12,17,2,2
"1062",90,12,8,2,2
"1063",90,12,27,2,2
"1064",90,12,20,2,2
"1065",90,12,5,2,2
"1066",90,12,16,2,2
"1067",90,12,29,2,2
"1068",90,12,7,2,2
